experiment,condition,n_learners,final_mastery,final_learned,retained_mastery,retained_usable,coverage,sd_retained_usable
1_representation,binary (permanent),30,0.6108,4.5,0.5153,21.87,39.97,3.61
1_representation,continuous,30,0.6528,5.4,0.5523,27.8,40,3.2
1_representation,continuous + forgetting,30,0.6493,18.63,0.5539,30.33,33.3,1.52
2_learner_forgets,CT + binary,30,0.6108,4.5,0.5153,21.87,39.97,3.61
2_learner_forgets,CT + forgetting model,30,0.6493,18.63,0.5539,30.33,33.3,1.52
2_learner_forgets,adaptive review,30,0.5338,21.07,0.4576,22.47,29.13,1.17
2_learner_does_not_forget,CT + binary,30,0.9913,40,0.9913,40,40,0.0
2_learner_does_not_forget,CT + forgetting model,30,0.9201,36.37,0.9201,37.3,38.07,1.34
2_learner_does_not_forget,adaptive review,30,0.7549,28.37,0.7549,29.43,33.27,1.1
3_fast,CT + binary,30,0.8002,23.77,0.7018,38.03,40,1.61
3_fast,CT + forgetting model,30,0.7974,33.07,0.7021,35.77,36.9,1.14
3_fast,adaptive review,30,0.6542,26.57,0.5783,27.1,32.43,1.27
3_average,CT + binary,30,0.6108,4.5,0.5153,21.87,39.97,3.61
3_average,CT + forgetting model,30,0.6493,18.63,0.5539,30.33,33.3,1.52
3_average,adaptive review,30,0.5338,21.07,0.4576,22.47,29.13,1.17
3_slow,CT + binary,30,0.4296,1.3,0.3571,9.4,33.27,1.43
3_slow,CT + forgetting model,30,0.4961,3.4,0.415,21.33,30.2,1.37
3_slow,adaptive review,30,0.4151,9.27,0.3493,17.53,26.3,1.25
3_forgetful,CT + binary,30,0.3013,0.43,0.2071,1.13,36.77,0.97
3_forgetful,CT + forgetting model,30,0.4638,1.83,0.3255,7.73,30.9,1.86
3_forgetful,adaptive review,30,0.3893,4.27,0.2767,11.23,26.97,1.77
4_halflife_5,CT + binary,30,0.2282,0.03,0.1504,0.03,32.57,0.18
4_halflife_5,CT + forgetting model,30,0.3885,0.4,0.2572,1.33,29.63,0.99
4_halflife_5,adaptive review,30,0.3343,1.13,0.2246,3.1,25.5,1.18
4_halflife_7,CT + binary,30,0.3375,0.6,0.2444,2.57,36.8,0.97
4_halflife_7,CT + forgetting model,30,0.4776,2.3,0.3524,13.27,30.73,1.6
4_halflife_7,adaptive review,30,0.4005,4.97,0.2984,15.33,26.47,1.73
4_halflife_8,CT + binary,30,0.3876,1.63,0.2903,4.2,37.9,0.81
4_halflife_8,CT + forgetting model,30,0.5149,3.33,0.3932,18.5,31.23,2.01
4_halflife_8,adaptive review,30,0.4279,7.67,0.3297,17.7,27.37,1.8
4_halflife_9,CT + binary,30,0.4355,1.7,0.3357,6.3,38.9,1.18
4_halflife_9,CT + forgetting model,30,0.5458,4.77,0.4287,23.7,31.73,1.8
4_halflife_9,adaptive review,30,0.4503,10.53,0.3565,19.33,28.03,1.27
4_halflife_10,CT + binary,30,0.48,2.37,0.3788,8.77,39.53,1.48
4_halflife_10,CT + forgetting model,30,0.5709,7.7,0.4588,25.9,31.97,1.45
4_halflife_10,adaptive review,30,0.47,13.1,0.3803,20.3,27.97,1.37
4_halflife_12,CT + binary,30,0.5522,3.53,0.4527,14.47,39.97,2.53
4_halflife_12,CT + forgetting model,30,0.6174,12.33,0.5135,28.97,32.83,1.4
4_halflife_12,adaptive review,30,0.5052,17.97,0.4227,21.8,28.5,1.27
4_halflife_16,CT + binary,30,0.6579,6.47,0.567,28.57,40,3.54
4_halflife_16,CT + forgetting model,30,0.6772,23.33,0.5889,31.47,33.87,1.31
4_halflife_16,adaptive review,30,0.5533,22.17,0.4832,23.4,29.5,1.3
4_halflife_18,CT + binary,30,0.6945,9.07,0.6086,32.6,40,2.9
4_halflife_18,CT + forgetting model,30,0.6983,26.63,0.6165,31.9,34.17,1.06
4_halflife_18,adaptive review,30,0.5684,22.97,0.5037,23.6,30,1.13
4_halflife_19,CT + binary,30,0.712,11.13,0.6282,34.7,40,2.14
4_halflife_19,CT + forgetting model,30,0.7073,27.37,0.6284,32.3,34.4,1.18
4_halflife_19,adaptive review,30,0.5792,23.13,0.5165,23.9,30.37,0.99
4_halflife_20,CT + binary,30,0.7283,12.37,0.6467,36.5,40,1.85
4_halflife_20,CT + forgetting model,30,0.7186,28.07,0.642,32.6,34.83,1.4
4_halflife_20,adaptive review,30,0.5886,23.6,0.5278,24.43,30.57,1.17
4_halflife_22,CT + binary,30,0.7559,15.53,0.6785,38.77,40,0.97
4_halflife_22,CT + forgetting model,30,0.7388,29.97,0.6666,33.1,35.3,1.35
4_halflife_22,adaptive review,30,0.601,24.17,0.5442,24.87,30.33,1.17
