belief_lo,belief_hi,mean_belief,n,frac_truly_known,ci95,gap
0.0,0.1,,0,,0.0,
0.1,0.2,0.14281032028105317,61541,0.14409905591394356,0.002774700531293175,0.001288735632890392
0.2,0.3,0.2136331274510219,14703,0.21390192477725634,0.006628248854919326,0.0002687973262344434
0.3,0.4,0.3835318999516852,3023,0.3698312934171353,0.01720945996675917,-0.013700606534549908
0.4,0.5,0.44873102801843384,28014,0.44884700506889413,0.005824434435890332,0.00011597705046029194
0.5,0.6,0.5486434348550144,6543,0.5390493657343726,0.012078391136857398,-0.009594069120641868
0.6,0.7,0.6658367192413128,759,0.6469038208168643,0.03400177197887347,-0.018932898424448563
0.7,0.8,0.7717905385068798,16960,0.7626768867924528,0.006402999359094649,-0.009113651714427018
0.8,0.9,0.8401640408292707,4314,0.8379694019471489,0.01099584473660026,-0.002194638882121791
0.9,1.0,0.9534678215985067,24143,0.9502133123472642,0.0027436431599029685,-0.003254509251242488
